Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,
27/01/2020,HK,Hong Kong,WPRO,1,1,0,0,1
28/01/2020,HK,Hong Kong,WPRO,1,2,0,0,2
29/01/2020,HK,Hong Kong,WPRO,2,4,0,0,4
30/01/2020,HK,Hong Kong,WPRO,2,6,0,0,6
31/01/2020,HK,Hong Kong,WPRO,1,7,0,0,7
01/02/2020,HK,Hong Kong,WPRO,1,8,0,0,8
02/02/2020,HK,Hong Kong,WPRO,1,9,0,0,9
03/02/2020,HK,Hong Kong,WPRO,0,9,0,0,9
04/02/2020,HK,Hong Kong,WPRO,3,12,1,1,12
05/02/2020,HK,Hong Kong,WPRO,3,15,0,1,15
06/02/2020,HK,Hong Kong,WPRO,3,18,0,1,18
07/02/2020,HK,Hong Kong,WPRO,2,20,0,1,20
08/02/2020,HK,Hong Kong,WPRO,0,20,0,1,20
09/02/2020,HK,Hong Kong,WPRO,10,30,0,1,30
10/02/2020,HK,Hong Kong,WPRO,6,36,0,1,36
11/02/2020,HK,Hong Kong,WPRO,7,43,0,1,43
12/02/2020,HK,Hong Kong,WPRO,1,44,0,1,44
13/02/2020,HK,Hong Kong,WPRO,3,47,0,1,47
14/02/2020,HK,Hong Kong,WPRO,3,50,0,1,50
15/02/2020,HK,Hong Kong,WPRO,0,50,0,1,50
16/02/2020,HK,Hong Kong,WPRO,1,51,0,1,51
17/02/2020,HK,Hong Kong,WPRO,3,54,0,1,54
18/02/2020,HK,Hong Kong,WPRO,2,56,0,1,56
19/02/2020,HK,Hong Kong,WPRO,3,59,1,2,59
20/02/2020,HK,Hong Kong,WPRO,3,62,0,2,62
21/02/2020,HK,Hong Kong,WPRO,0,62,0,2,62
22/02/2020,HK,Hong Kong,WPRO,1,63,0,2,63
23/02/2020,HK,Hong Kong,WPRO,5,68,0,2,68
24/02/2020,HK,Hong Kong,WPRO,7,75,0,2,75
25/02/2020,HK,Hong Kong,WPRO,4,79,0,2,79
26/02/2020,HK,Hong Kong,WPRO,6,85,0,2,85
27/02/2020,HK,Hong Kong,WPRO,2,87,0,2,87
28/02/2020,HK,Hong Kong,WPRO,1,88,0,2,88
29/02/2020,HK,Hong Kong,WPRO,1,89,0,2,89
01/03/2020,HK,Hong Kong,WPRO,3,92,0,2,92
02/03/2020,HK,Hong Kong,WPRO,2,94,0,2,94
03/03/2020,HK,Hong Kong,WPRO,0,94,0,2,94
04/03/2020,HK,Hong Kong,WPRO,5,99,0,2,99
05/03/2020,HK,Hong Kong,WPRO,0,99,0,2,99
06/03/2020,HK,Hong Kong,WPRO,2,101,0,2,101
07/03/2020,HK,Hong Kong,WPRO,2,103,0,2,103
08/03/2020,HK,Hong Kong,WPRO,5,108,1,3,108
09/03/2020,HK,Hong Kong,WPRO,1,109,0,3,109
10/03/2020,HK,Hong Kong,WPRO,5,114,0,3,114
11/03/2020,HK,Hong Kong,WPRO,9,123,0,3,123
12/03/2020,HK,Hong Kong,WPRO,2,125,0,3,125
13/03/2020,HK,Hong Kong,WPRO,6,131,1,4,131
14/03/2020,HK,Hong Kong,WPRO,4,135,0,4,135
15/03/2020,HK,Hong Kong,WPRO,8,143,0,4,143
16/03/2020,HK,Hong Kong,WPRO,8,151,0,4,151
17/03/2020,HK,Hong Kong,WPRO,10,161,0,4,161
18/03/2020,HK,Hong Kong,WPRO,25,186,0,4,186
19/03/2020,HK,Hong Kong,WPRO,16,202,0,4,202
20/03/2020,HK,Hong Kong,WPRO,48,250,0,4,250
21/03/2020,HK,Hong Kong,WPRO,17,267,0,4,267
22/03/2020,HK,Hong Kong,WPRO,44,311,0,4,311
23/03/2020,HK,Hong Kong,WPRO,39,350,0,4,350
24/03/2020,HK,Hong Kong,WPRO,30,380,0,4,380
25/03/2020,HK,Hong Kong,WPRO,24,404,0,4,404
26/03/2020,HK,Hong Kong,WPRO,43,447,0,4,447
27/03/2020,HK,Hong Kong,WPRO,65,512,0,4,512
28/03/2020,HK,Hong Kong,WPRO,64,576,0,4,576
29/03/2020,HK,Hong Kong,WPRO,59,635,0,4,635
30/03/2020,HK,Hong Kong,WPRO,41,676,0,4,676
31/03/2020,HK,Hong Kong,WPRO,32,708,0,4,708
01/04/2020,HK,Hong Kong,WPRO,51,759,0,4,759
02/04/2020,HK,Hong Kong,WPRO,37,796,0,4,796
03/04/2020,HK,Hong Kong,WPRO,43,839,0,4,839
04/04/2020,HK,Hong Kong,WPRO,17,856,0,4,856
05/04/2020,HK,Hong Kong,WPRO,28,884,0,4,884
06/04/2020,HK,Hong Kong,WPRO,24,908,0,4,908
07/04/2020,HK,Hong Kong,WPRO,21,929,0,4,929
08/04/2020,HK,Hong Kong,WPRO,25,954,0,4,954
09/04/2020,HK,Hong Kong,WPRO,13,967,0,4,967
10/04/2020,HK,Hong Kong,WPRO,16,983,0,4,983
11/04/2020,HK,Hong Kong,WPRO,11,994,0,4,994
12/04/2020,HK,Hong Kong,WPRO,4,998,0,4,998
13/04/2020,HK,Hong Kong,WPRO,5,"1,003",0,4,1003
14/04/2020,HK,Hong Kong,WPRO,3,"1,006",0,4,1006
15/04/2020,HK,Hong Kong,WPRO,4,"1,010",0,4,1010
16/04/2020,HK,Hong Kong,WPRO,1,"1,011",0,4,1011
17/04/2020,HK,Hong Kong,WPRO,4,"1,015",0,4,1015
18/04/2020,HK,Hong Kong,WPRO,2,"1,017",0,4,1017
19/04/2020,HK,Hong Kong,WPRO,2,"1,019",0,4,1019
